Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades
0.33,74.78,4.985333,1.167211,0.223825,1.395095,6.518,15
0.33,-11.14,-0.69625,0.979653,-0.023944,-0.098959,8.9407,16
0.32,311.14,23.933846,1.771485,0.590186,1.750763,9.4774,13
0.31,-396.76,-24.7975,0.385516,-0.632166,-5,12.1782,16
0.3,210.07,17.505833,1.892358,1.088897,2.621283,3.8381,12
0.24,-246.2,-16.413333,0.291103,-0.744797,-5,6.5015,15
0.24,-37.59,-2.211176,0.847009,-0.224969,-3.0347,3.2985,17
0.24,-67.97,-3.998235,0.802522,-0.21336,-2.847067,6.1039,17
0.23,-533.48,-31.381176,0.086741,-0.907372,-5,11.674,17
0.23,-568.32,-33.430588,0.262478,-0.949479,-5,11.8992,17
0.22,-2618.33,-145.462778,0.383542,-0.762834,-5,59.0359,18
0.18,-55.54,-3.702667,0.892821,-0.205475,-0.44391,5.4041,15
0.17,-1667.28,-72.490435,0.561409,-0.590064,-5,45.8826,23
